Depth,Gas Age,[CH4],,
1429.855,6727.40563,588.4364035,,
1431.854,6741.927747,596.5067654,,
1433.889,6756.774666,587.6896245,,
1435.888,6771.092417,604.734732,,
1437.897,6785.146674,636.7582286,,
1439.914,6799.256896,605.752325,,
1441.797,6812.113535,602.8707227,,
1441.897,6812.795505,616.8742674,,
1443.933,6826.680428,598.3973282,,
1445.935,6840.41327,598.8100718,,
1447.927,6854.168116,598.6132787,,
1449.927,6867.978202,602.282065,,
1451.927,6881.667374,596.4569578,,
1453.892,6895.112486,611.5620253,,
1455.888,6908.90938,606.4375859,,
1457.851,6922.649562,617.5291809,,
1459.86,6936.711725,612.9842649,,
1461.851,6950.967457,602.9937746,,
1463.857,6965.354941,619.9727858,,
1465.858,6979.78202,625.5181292,,
1467.851,6994.251538,607.4452614,,
1469.855,7008.800917,632.1235707,,
1471.849,7024.060933,606.7330171,,
1473.902,7039.835713,612.3873761,,
1475.904,7055.353229,623.6577775,,
1477.879,7070.822759,627.2987753,,
1479.884,7086.527269,629.1316976,,
1481.878,7102.63419,647.1620019,,
1483.843,7118.536598,652.3986513,,
1485.853,7134.417631,625.2566094,,
1487.819,7149.439509,616.0598845,,
1489.824,7164.75938,615.0861458,,
1491.817,7180.394314,624.4749739,,
1493.807,7196.045053,634.0743624,,
1495.822,7211.895391,633.3760892,,
1497.789,7227.372376,626.7039073,,
1499.792,7243.13262,632.2806852,,
1501.79,7259.890781,617.087582,,
1503.802,7276.887741,616.4248905,,
1505.804,7293.590696,609.9531488,,
1507.775,7309.727642,607.8253314,,
1510.283,7330.211815,620.7029546,,
1511.774,7342.15921,634.0954532,,
1513.801,7358.401577,625.7855771,,
1516.096,7376.486742,617.4385581,,
1517.846,7390.023005,616.5393793,,
1520.139,7407.763881,604.332503,,
1521.848,7421.038391,620.4714063,,
1521.848,7421.038391,616.2857966,,
1523.848,7436.573217,620.1871971,,
1525.85,7452.12641,642.1397236,,
1527.856,7467.714524,634.1776825,,
1530.051,7484.782749,606.7917491,,
1531.867,7499.301824,619.1044745,,
1533.872,7515.331971,639.1484719,,
1535.874,7531.398135,625.3736051,,
1537.876,7547.541739,619.3911059,,
1539.877,7563.67728,623.0054674,,
1541.88,7580.758653,609.824283,,
1543.882,7597.892295,634.9589462,,
1549.89,7646.676659,630.2842324,,
1552.673,7669.586309,620.0200654,,
1553.896,7679.664728,622.2144514,,
1555.897,7696.174489,622.6891891,,
1557.9,7712.725453,618.3453387,,
1560.121,7731.068418,617.6154291,,
1561.903,7745.655516,612.4700028,,
1563.901,7762.010748,630.7719183,,
1565.904,7778.182725,635.6010862,,
1567.906,7794.074223,630.9121286,,
1569.906,7809.949846,618.2922882,,
1572.696,7832.660961,613.3007765,,
1573.913,7842.576152,628.3269489,,
1575.848,7858.503448,620.6471866,,
1575.848,7858.503448,628.974936,,
1577.922,7875.797978,614.4766974,,
1579.924,7892.492119,617.4423079,,
1581.926,7907.883072,643.7096824,,
1583.92,7923.161304,622.9068497,,
1585.924,7939.331809,642.7073231,,
1587.944,7956.592389,648.0480774,,
1589.922,7973.494086,639.0520533,,
1592.155,7991.51335,651.3719558,,
1593.926,8005.774022,628.8159182,,
1595.927,8021.841792,626.3186934,,
1597.933,8037.897516,630.3953946,,
1599.933,8053.905217,644.177112,,
1599.933,8053.905217,643.8681087,,
1601.935,8070.016687,632.5680811,,
1603.933,8086.098998,641.7701893,,
1605.937,8102.456584,643.1016954,,
1607.936,8119.031181,652.1762885,,
1609.94,8135.647236,649.1366746,,
1611.942,8152.842862,620.8776195,,
1613.947,8170.082702,587.9191696,,
1616.011,8187.622698,577.6229552,,
1617.953,8203.922928,581.6338711,,
1619.958,8220.75195,567.7215011,,
1622.069,8238.400998,560.1759439,,
1623.96,8254.209465,582.1826954,,
1623.96,8254.209465,582.3242918,,
1625.962,8271.354307,610.7983544,,
1627.964,8288.940698,633.5314047,,
1629.969,8306.553441,634.9591921,,
1631.996,8323.795512,629.4418859,,
1633.973,8340.60373,647.0331393,,
1636.476,8361.88765,640.9535408,,
1638.379,8378.071516,637.4727395,,
1639.98,8391.687055,632.1107774,,
1641.981,8409.543924,634.445717,,
1643.978,8427.373556,635.1339076,,
1645.98,8445.124073,637.5119902,,
1648.164,8464.347481,644.4472659,,
1649.984,8480.366987,665.9879038,,
1651.989,8497.855597,628.9961659,,
1653.992,8515.325482,633.2065589,,
1655.993,8533.368016,637.6683266,,
1657.998,8552.046819,632.5025865,,
1659.901,8569.775379,653.0697317,,
1660.001,8570.706287,648.5928631,,
1662.002,8587.940417,649.8026745,,
1664.003,8605.174547,652.5633907,,
1666.004,8622.613437,659.4991861,,
1667.97,8639.947075,652.7962897,,
1670.006,8657.899481,658.554904,,
1672.009,8676.093501,669.4032994,,
1674.41,8697.902708,661.883319,,
1674.41,8697.902708,657.4915802,,
1674.41,8697.902708,671.0928144,,
1676.012,8712.326689,654.1396284,,
1678.015,8730.268154,674.5786807,,
1680.017,8748.202044,673.9738266,,
1682.02,8766.306472,664.7193693,,
1684.02,8784.383784,660.7840912,,
1686.023,8802.695744,649.940843,,
1688.024,8821.188028,670.8944702,,
1690.025,8839.683494,662.3759417,,
1692.028,8858.449146,663.9506951,,
1694.03,8877.205429,663.7542146,,
1696.534,8901.096949,675.1584636,,
1698.035,8915.582294,671.4808147,,
1700.035,8934.866987,679.1596399,,
1702.034,8953.231047,665.864599,,
1704.033,8971.595106,670.2530944,,
1706.032,8990.167908,654.6057697,,
1708.034,9008.964472,661.7125502,,
1710.036,9027.779545,668.5346956,,
1712.038,9047.605446,667.3085546,,
1714.041,9067.44125,657.0243149,,
1716.042,9087.17612,666.2246664,,
1718.085,9107.248982,682.5782858,,
1720.049,9126.530513,695.6980362,,
1720.049,9126.530513,688.0198173,,
1720.049,9126.530513,682.4558267,,
1720.049,9126.530513,683.3222984,,
1722.052,9145.591423,673.7297113,,
1724.051,9164.614268,672.2904564,,
1726.051,9183.436786,684.3297795,,
1728.053,9202.088459,677.189796,,
1730.056,9220.784483,661.2533486,,
1732.059,9240.698605,663.1687525,,
1734.062,9260.612727,658.5922666,,
1736.065,9280.504498,654.551646,,
1738.065,9300.346818,655.4165755,,
1740.066,9320.165022,664.5929912,,
1742.067,9338.985293,665.0269858,,
1744.608,9362.884499,683.2846124,,
1746.069,9376.30201,675.698994,,
1748.07,9394.516129,666.5136121,,
1750.07,9412.726793,668.4484061,,
1752.073,9431.120755,676.2841437,,
1754.075,9449.505534,687.2207805,,
1756.075,9468.55358,681.2433725,,
1758.071,9488.148879,664.886558,,
1760.074,9507.787393,682.7607364,,
