,Composite CO2 record (0-800 kyr BP),Unnamed: 1
0,0-22 kyr BP:,Dome C (Monnin et al. 2001) measured at University of Bern
1,22-393 kyr BP:,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
2,393-416 kyr BP:,Dome C (Siegenthaler et al. 2005) measured at LGGE in Grenoble
3,416-664 kyr BP:,Dome C (Siegenthaler et al. 2005)  measured at University of Bern
4,664-800 kyr BP:,Dome C (Luethi et al. (sub)) measured at University of Bern
5,EDC3_gas_a (yr),CO2 (ppmv)
750,568556,250.2
751,568946,251.3
752,569331,250
753,569728,251.3
754,570139,251.8
755,570548,251.8
756,570955,249.6
757,571367,251.6
758,571775,250.3
759,572190,246.3
760,572619,247.7
761,573037,249.2
762,573462,248.7
763,573902,251.8
764,574353,251.9
765,574803,252.1
766,575265,248.9
767,575730,252.5
768,576222,252.9
769,576723,251.3
770,577242,251.3
771,577769,251.1
772,578305,249.1
773,578857,252.9
774,579435,251.5
775,579821,244.1
776,580019,243.8
777,580400,236.2
778,580695,230.3
779,581160,225.2
780,581507,219.4
781,582000,215.4
782,582391,209.9
783,583034,206.7
784,583413,210.6
785,586406,224
786,586893,226
787,587647,234.4
788,588034,238.8
789,588716,246.3
790,589224,250.2
791,589868,248.1
792,590335,243.6
793,590893,237.4
794,592279,225.7
795,592697,229.4
796,593415,233.2
797,593870,238.1
798,594639,238
799,595189,232.9
800,595950,221.2
801,596515,216.4
802,597443,216.3
803,597966,219
804,598833,226
805,599434,229.4
806,600882,232.5
807,602278,237.9
808,603673,239.1
809,605076,244.5
810,606374,248.5
811,607708,254.6
812,608929,259.2
813,610136,257.7
814,611319,259.6
815,612514,258
816,613709,256
817,614923,252.5
818,616227,252.4
819,617544,252.3
820,618955,247.9
821,620338,245.4
822,621760,243
823,623214,238.6
824,624690,237.3
825,625570,234.3
826,626215,227.8
827,627211,214.9
828,627999,205
829,629446,198.7
830,630295,199.9
831,632001,199.5
832,632856,195.6
833,634592,192.1
834,635489,193.9
835,636957,193
836,638127,194.3
837,639848,187.7
838,640760,189.1
839,642405,190.2
840,643204,190.4
841,644662,194.1
842,645470,194.6
843,646723,188.6
844,647588,190.5
845,648946,192.1
846,649598,194.8
847,650891,187.8
848,651556,192
849,652802,185.8
850,653448,185.3
851,654473,191.3
852,655202,193.2
853,656286,198.4
854,656882,198.7
855,657923,191.3
856,658474,189.2
857,659524,182.4
858,660084,183.9
859,660981,186.6
860,661650,189.8
861,662669,187.8
862,663206,189
863,664192,189.1
864,664690,185.8
865,665645,178.2
866,666174,178.5
867,666995,172.7
868,667569,171.6
869,668447,175.6
870,668934,178.5
871,669751,185.5
872,670176,189.3
873,670916,192.6
874,671286,194.6
875,671926,192.5
876,672386,194.8
877,673095,198.7
878,673475,202.3
879,674173,209.2
880,674521,213.7
881,675589,220
882,676170,217.4
883,676524,214
884,677068,215.6
885,677380,217.4
886,677984,226.5
887,678291,230
888,678914,230.8
889,679252,230.3
890,679732,223
891,680081,225
892,680608,218.4
893,680920,216.2
894,681531,217.3
895,681849,219.7
896,682446,222.6
897,682762,221.3
898,683262,218.7
899,683612,217.5
900,684142,217.5
901,684419,219.4
902,684949,219.5
903,685217,219.7
904,685716,223.5
905,685980,224.4
906,686425,224.3
907,686726,227.3
908,687227,228.7
909,687470,228.8
910,687949,232.3
911,688195,233
912,688652,235.8
913,688881,234.9
914,689304,235.8
915,689603,239.9
916,690057,235.6
917,690294,234.8
918,690771,240
919,690999,234
920,691432,235.6
921,691672,236.6
922,692057,235.5
923,692338,235.9
924,692765,232.9
925,692990,234.8
926,693433,234.1
927,693639,234.1
928,694068,235.4
929,694300,234.4
930,694672,235.8
931,694941,236.9
932,695383,236.7
933,695618,237.6
934,696062,234.6
935,696287,234.8
936,696717,235.4
937,696963,232.9
938,697331,232.4
939,697660,232.2
940,698120,231
941,698386,228
942,698880,226.4
943,699102,227.7
944,699633,227.6
945,699909,226
946,700389,228.7
947,700744,227.6
948,701242,228.2
949,701606,228.8
950,702158,229.3
951,702381,230.3
952,702988,232.4
953,703384,232.8
954,703934,231.2
955,704211,231.2
956,704973,233.9
957,705410,228.5
958,706141,228.6
959,706409,228.1
960,709680,219.7
961,710237,220.2
962,711104,218.9
963,711421,218.7
964,712833,218.5
965,713843,222.3
966,714288,221.7
967,715180,217.7
968,715750,222.1
969,716704,208.1
970,717065,205
971,718064,192.9
972,718779,184.3
973,719794,187.8
974,720337,195.2
975,721318,206.3
976,722039,211.3
977,723133,213.4
978,723464,213.2
979,724445,210.3
980,725059,206.3
981,725937,206.6
982,726322,208.1
983,727192,204.5
984,727732,205.5
985,728568,205.1
986,728921,205.4
987,730299,204
988,730949,204.1
989,731329,204.9
990,732141,203.8
991,732548,205.9
992,733261,203.9
993,733543,204.4
994,734223,205.3
995,734604,207.4
996,735167,201.7
997,735459,201.3
998,736079,204.1
999,736460,209.7
1000,737034,208.1
1001,737266,211.3
1002,737889,210.6
1003,738272,206.5
1004,738844,200.3
1005,739137,197.8
1006,739842,185
1007,740277,178.9
1008,741021,178.6
1009,741307,176.6
1010,742075,177.9
1011,742558,182.3
1012,743233,181.7
1013,743589,180.4
1014,744354,181.2
1015,744843,182
1016,745836,180.2
1017,746643,183.1
1018,747110,180.8
1019,747759,180.8
1020,748101,180.4
1021,748913,181.4
1022,749401,182.9
1023,750194,184.8
1024,750476,184
1025,751301,186.2
1026,751830,190.1
1027,752605,188
1028,752978,196.5
1029,753984,191.5
1030,754394,195.8
1031,755241,200.5
1032,755495,201.9
1033,756357,206
1034,756871,210.7
1035,757561,215
1036,757962,219.2
1037,758259,215.3
1038,758475,217.6
1039,758883,217.9
1040,759306,214.9
1041,760202,208.8
1042,760500,206.9
1043,761453,206.1
1044,762064,212
1045,762871,216
1046,763319,215
1047,763686,225.7
1048,763934,221.4
1049,764249,224.1
1050,764833,222.6
1051,765735,216.8
1052,766110,215.7
1053,767096,213.5
1054,767737,217.7
1055,768655,222.4
1056,769050,221.4
1057,769514,228.1
1058,769787,226
1059,770133,231.5
1060,770447,235.6
1061,770724,238.2
1062,770994,235.6
1063,771260,237.7
1064,771708,229.5
1065,772076,230.9
1066,773043,230
1067,773680,233.3
1068,774548,236.9
1069,775051,240.5
1070,776037,238.8
1071,776636,243.9
1072,777556,246.3
1073,777900,246.1
1074,778798,245.8
1075,779364,243.9
1076,780268,248.5
1077,780612,242.8
1078,781535,248.7
1079,782059,246.2
1080,783263,252.1
1081,784147,246.9
1082,784692,250.7
1083,785413,253.3
1084,785789,255.4
1085,786587,260.3
1086,787076,256.9
1087,787805,248.1
1088,788033,247.9
1089,788887,229.5
1090,789381,226.3
1091,790153,218.2
1092,790538,221.3
1093,791491,215.4
1094,792081,205.1
1095,792943,204
1096,793260,209
1097,794608,199.4
1098,795202,195.2
1099,796467,189.3
1100,797099,188.4
1101,798512,191
